(-16.00, -16.00)  -  0
(-14.49, -15.08)  -  1
(-15.91, -14.64)  -  2
(-15.23, -14.96)  -  3
(-15.89, -14.94)  -  4
(-15.23, -15.87)  -  5
(-14.23, -12.28)  -  6
(-15.63, -14.04)  -  7
(-12.36, -13.71)  -  8
(-13.06, -15.02)  -  9
(-13.03, -14.54)  -  10
(-13.11, -13.74)  -  11
(-14.11, -12.46)  -  12
(-12.93, -14.57)  -  13
(-14.56, -15.50)  -  14
(-12.36, -13.76)  -  15
(-12.93, -13.72)  -  16
(-13.94, -14.64)  -  17
(-12.00, -13.46)  -  18
(-13.88, -14.61)  -  19
(-11.95, -13.69)  -  20
(-13.94, -12.25)  -  21
(-12.06, -13.82)  -  22
(-14.07, -15.08)  -  23
(-13.64, -10.62)  -  24
(-14.92, -12.34)  -  25
(-12.85, -15.29)  -  26
(-12.79, -15.90)  -  27
(-10.18, -13.01)  -  28
(-10.50, -11.63)  -  29
(-13.14, -15.61)  -  30
(-15.99, -14.34)  -  31
(-13.19, -15.04)  -  32
(-12.45, -14.04)  -  33
(-13.46, -14.45)  -  34
(-12.65, -12.62)  -  35
(-12.78, -15.41)  -  36
(-11.43, -10.74)  -  37
(-14.14, -10.16)  -  38
(-14.72, -14.11)  -  39
(-13.51, -13.59)  -  40
(-14.44, -13.19)  -  41
(-14.72, -15.43)  -  42
(-13.48, -10.46)  -  43
(-15.72, -14.90)  -  44
(-13.65, -14.18)  -  45
(-10.76, -11.27)  -  46
(-12.28, -8.36)  -  47
(-14.59, -13.98)  -  48
(-11.98, -10.15)  -  49
(-12.24, -6.70)  -  50
(-9.05, -8.18)  -  51
(-11.85, -7.94)  -  52
(-13.69, -13.37)  -  53
(-11.52, -9.14)  -  54
(-11.03, -9.92)  -  55
(-12.15, -7.74)  -  56
(-13.33, -9.27)  -  57
(-13.40, -12.44)  -  58
(-10.20, -11.04)  -  59
(-15.05, -13.94)  -  60
(-12.13, -4.77)  -  61
(-11.00, -15.39)  -  62
(-16.00, -12.00)  -  63
(-12.72, -6.33)  -  64
(-12.18, -5.65)  -  65
(-12.62, -11.67)  -  66
(-10.14, -9.15)  -  67
(-12.19, -13.16)  -  68
(-13.23, -12.86)  -  69
(-11.31, -9.87)  -  70
(-13.23, -11.07)  -  71
(-14.45, -14.81)  -  72
(-10.69, -9.37)  -  73
(-13.07, -12.59)  -  74
(-12.22, -13.62)  -  75
