(-16.00, -16.00)
(-14.49, -15.08)
(-15.63, -14.04)
(-14.11, -12.46)
(-13.64, -10.62)
(-11.52, -9.14)
(-11.31, -9.87)
(-11.57, -7.65)
(-9.65, -6.20)
(-7.32, -4.40)
(-5.33, -4.89)
(-5.89, -4.45)
(-6.79, -2.47)
(-5.14, -1.04)
(-4.65, -0.34)
(-5.21, 0.07)
(-4.25, 0.28)
(-4.36, 1.24)
(-4.72, 2.72)
(-3.52, 3.67)
(-3.35, 3.75)
(-3.92, 4.95)
(-2.93, 5.59)
(-0.88, 5.31)
(0.38, 6.72)
(0.83, 6.87)
(1.89, 7.35)
(2.36, 7.38)
(2.84, 8.54)
(3.93, 8.85)
(3.51, 9.24)
(3.15, 10.07)
(4.21, 11.22)
(4.64, 11.93)
(5.61, 9.55)
(6.16, 7.48)
(7.45, 7.54)
(8.25, 8.79)
(7.86, 9.14)
(8.15, 8.63)
(9.91, 9.55)
(10.97, 9.97)
(11.96, 9.69)
(12.01, 10.67)
(13.11, 11.53)
(14.20, 12.23)
(14.47, 13.98)
(14.87, 14.94)
(15.45, 15.11)
(16.00, 15.96)
