(-16.00, -16.00)  -  1
(-14.49, -15.08)  -  2
(-15.91, -14.64)  -  3
(-15.23, -14.96)  -  4
(-15.89, -14.94)  -  5
(-15.23, -15.87)  -  6
(-14.23, -12.28)  -  7
(-15.63, -14.04)  -  8
(-12.36, -13.71)  -  9
(-13.06, -15.02)  -  10
(-13.03, -14.54)  -  11
(-13.11, -13.74)  -  12
(-14.11, -12.46)  -  13
(-12.93, -14.57)  -  14
(-14.56, -15.50)  -  15
(-12.36, -13.76)  -  16
(-12.93, -13.72)  -  17
(-13.94, -14.64)  -  18
(-12.00, -13.46)  -  19
(-13.88, -14.61)  -  20
(-11.95, -13.69)  -  21
(-13.94, -12.25)  -  22
(-12.06, -13.82)  -  23
(-14.07, -15.08)  -  24
(-13.64, -10.62)  -  25
(-14.92, -12.34)  -  26
(-12.85, -15.29)  -  27
(-12.79, -15.90)  -  28
(-10.18, -13.01)  -  29
(-10.50, -11.63)  -  30
(-13.14, -15.61)  -  31
(-15.99, -14.34)  -  32
(-13.19, -15.04)  -  33
(-12.45, -14.04)  -  34
(-13.46, -14.45)  -  35
(-12.65, -12.62)  -  36
(-12.78, -15.41)  -  37
(-11.43, -10.74)  -  38
(-14.14, -10.16)  -  39
(-14.72, -14.11)  -  40
(-13.51, -13.59)  -  41
(-14.44, -13.19)  -  42
(-14.72, -15.43)  -  43
(-13.48, -10.46)  -  44
(-15.72, -14.90)  -  45
(-13.65, -14.18)  -  46
(-10.76, -11.27)  -  47
(-12.28, -8.36)  -  48
(-14.59, -13.98)  -  49
(-11.98, -10.15)  -  50
(-12.24, -6.70)  -  51
(-9.05, -8.18)  -  52
(-11.85, -7.94)  -  53
(-13.69, -13.37)  -  54
(-11.52, -9.14)  -  55
(-11.03, -9.92)  -  56
(-12.15, -7.74)  -  57
(-13.33, -9.27)  -  58
(-13.40, -12.44)  -  59
(-10.20, -11.04)  -  60
(-15.05, -13.94)  -  61
(-12.13, -4.77)  -  62
(-11.00, -15.39)  -  63
(-16.00, -12.00)  -  64
(-12.72, -6.33)  -  65
(-12.18, -5.65)  -  66
(-12.62, -11.67)  -  67
(-10.14, -9.15)  -  68
(-12.19, -13.16)  -  69
(-13.23, -12.86)  -  70
(-11.31, -9.87)  -  71
(-13.23, -11.07)  -  72
(-14.45, -14.81)  -  73
(-10.69, -9.37)  -  74
(-13.07, -12.59)  -  75
(-12.22, -13.62)  -  76
(-8.32, -7.47)  -  77
(-14.09, -14.72)  -  78
(-7.95, -7.90)  -  79
(-11.68, -6.19)  -  80
(-14.54, -12.56)  -  81
(-11.04, -5.74)  -  82
(-15.07, -13.65)  -  83
(-12.96, -8.52)  -  84
(-10.10, -11.45)  -  85
(-13.52, -10.98)  -  86
(-10.94, -8.09)  -  87
(-12.16, -2.24)  -  88
(-9.93, -12.35)  -  89
(-10.05, -14.40)  -  90
(-11.83, -3.91)  -  91
(-8.90, -6.43)  -  92
(-12.93, -4.12)  -  93
(-12.22, -11.18)  -  94
(-11.36, -8.17)  -  95
(-10.67, -13.74)  -  96
(-10.88, -12.98)  -  97
(-13.02, -15.76)  -  98
(-10.87, -13.76)  -  99
(-11.66, -7.93)  -  100
(-14.44, -14.14)  -  101
(-11.36, -12.16)  -  102
(-7.74, -8.51)  -  103
(-13.96, -6.58)  -  104
(-10.12, -9.78)  -  105
(-13.10, -12.81)  -  106
(-13.17, -13.92)  -  107
(-11.86, -8.67)  -  108
(-11.28, -11.68)  -  109
(-13.83, -15.99)  -  110
(-10.49, -8.04)  -  111
(-9.28, -10.85)  -  112
(-12.11, -15.44)  -  113
(-11.57, -14.50)  -  114
(-11.57, -7.65)  -  115
(-13.99, -6.30)  -  116
(-12.02, -4.96)  -  117
(-12.95, -10.34)  -  118
(-15.66, -13.81)  -  119
(-14.20, -14.27)  -  120
(-13.50, -10.66)  -  121
(-13.88, -14.68)  -  122
(-7.26, -9.00)  -  123
(-14.00, -9.00)  -  124
(-8.97, -10.85)  -  125
(-13.75, -11.39)  -  126
(-13.10, -12.07)  -  127
(-9.02, -10.36)  -  128
(-15.50, -12.20)  -  129
(-9.34, -10.93)  -  130
(-12.01, -6.79)  -  131
(-7.91, -9.74)  -  132
(-9.13, -8.68)  -  133
(-10.18, -9.31)  -  134
(-10.14, -8.98)  -  135
(-13.89, -13.36)  -  136
(-10.63, -4.53)  -  137
(-8.15, -7.69)  -  138
(-9.65, -6.20)  -  139
(-11.58, -6.55)  -  140
(-12.39, -6.04)  -  141
(-14.11, -14.84)  -  142
(-11.79, -12.89)  -  143
(-12.02, -5.15)  -  144
(-12.68, -10.16)  -  145
(-10.03, -14.99)  -  146
(-11.30, -11.25)  -  147
(-8.82, -2.22)  -  148
(-14.74, -10.61)  -  149
(-12.70, -8.66)  -  150
(-8.79, -12.47)  -  151
(-15.39, -13.70)  -  152
(-12.28, -14.12)  -  153
(-13.20, -11.17)  -  154
(-11.15, -5.49)  -  155
(-14.26, -12.12)  -  156
(-9.22, -11.86)  -  157
(-10.99, -10.63)  -  158
(-15.07, -8.85)  -  159
(-8.05, -9.13)  -  160
(-7.75, -10.41)  -  161
(-8.13, -10.27)  -  162
(-9.83, -12.71)  -  163
(-11.71, -11.38)  -  164
(-14.56, -15.61)  -  165
(-11.75, -9.57)  -  166
(-11.05, -10.21)  -  167
(-13.32, -14.96)  -  168
(-12.32, -13.11)  -  169
(-10.33, -9.89)  -  170
(-9.15, -14.69)  -  171
(-5.28, -8.28)  -  172
(-10.32, -10.59)  -  173
(-13.04, -7.35)  -  174
(-8.91, -11.87)  -  175
(-12.61, -11.81)  -  176
(-11.02, -6.71)  -  177
(-12.40, -5.99)  -  178
(-14.79, -5.91)  -  179
(-12.02, -11.57)  -  180
(-10.61, -8.56)  -  181
(-7.95, -12.05)  -  182
(-10.37, -14.05)  -  183
(-12.86, -11.89)  -  184
(-10.19, -7.88)  -  185
(-8.35, -11.61)  -  186
(-7.27, -8.72)  -  187
(-9.43, -5.40)  -  188
(-14.98, -10.26)  -  189
(-14.88, -8.19)  -  190
(-10.33, -8.19)  -  191
(-9.94, -15.70)  -  192
(-11.81, -13.73)  -  193
(-13.78, -5.71)  -  194
(-11.54, -7.10)  -  195
(-8.53, -0.78)  -  196
(-14.77, -11.40)  -  197
(-10.47, -11.30)  -  198
(-11.77, -15.82)  -  199
(-7.32, -4.40)  -  200
(-9.71, -5.87)  -  201
